pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
Kepler-1232 b,1,1,26.7839183,0.1673,1.93,0.172,4.38,0.0138,M-R relationship,3.35,0,14.6,523,89.95,45.37,0.01967,,5471,0.89,0.92,0.06,-0.359,4.51,4.79,1.8739,632.865,14.97,12.965,14.7619,Super Earth
Kepler-1235 b,1,1,4.16055856,0.0491,0.79,0.07,0.418,0.00131,M-R relationship,4.66,0,265.32,985,89.68,12.26,0.00768,,5541,0.9,0.93,0.01,-0.156,4.5,4.57,1.97455,540.604,14.079,12.199,13.8765,Terrestrial
Kepler-1238 b,1,1,4.14787559,0.0541,1.93,0.172,4.38,0.0138,M-R relationship,3.35,0,1195.2,1389,78.14,8.736,0.01199,,6386,1.48,1.3,0.05,0.584,4.21,2.14,0.73308,1632.13,14.919,13.259,14.7328,Super Earth
Kepler-124 b,1,3,3.410493,0.039,0.73,0.065,0.315,0.00099,M-R relationship,4.45,0,198.84,892,70.06,2.85,0.01121,,4984,0.64,0.84,-0.46,-0.467,4.67,1.82,2.23727,420.046,14.4,12.233,14.124,Terrestrial
Kepler-124 c,1,3,13.821375,0.1,1.75,0.156,3.71,0.0117,M-R relationship,3.8,0,30.72,560,86.05,13.14,0.0276,,4984,0.64,0.84,-0.46,-0.467,4.67,1.82,0.44622,420.046,14.4,12.233,14.124,Super Earth
Kepler-124 d,1,3,30.950851,0.17,1.11,0.099,1.41,0.00444,M-R relationship,5.67,0,10.5,428,86.47,15.57,0.017,,4984,0.64,0.84,-0.46,-0.467,4.67,1.82,0.07455,420.046,14.4,12.233,14.124,Super Earth
Kepler-1240 b,1,1,4.8663815,0.0557,1.15,0.103,1.6,0.00505,M-R relationship,5.78,0,539.13,1121,89.38,16.82,0.01098,,5682,0.96,0.98,0.04,0.223,4.47,4.07,3.35225,862.186,14.092,12.361,13.9609,Super Earth
Kepler-1243 b,1,1,16.8320729,0.1256,1.75,0.156,3.71,0.0117,M-R relationship,3.8,0,36.16,690,88.9,27.64,0.01667,,5667,0.94,0.96,0.01,-0.244,4.48,4.37,1.56166,758.17,14.898,13.168,14.8331,Super Earth
Kepler-1244 b,1,1,3.70428172,0.0502,1.35,0.12,2.39,0.00752,M-R relationship,5.34,0,4756.32,1839,90,8.475,0.00708,,6680,1.77,1.46,0.05,1.032,4.1,1.7,0.11781,1075.81,12.444,11.269,12.3234,Super Earth
Kepler-1245 b,1,2,4.35409304,0.0484,1.44,0.128,2.67,0.00839,M-R relationship,4.91,0,194.34,1043,85.65,14.53,0.01571,,5306,0.83,0.86,-0.01,-0.411,4.55,4.57,3.05943,805.936,15.582,13.519,15.3721,Super Earth
Kepler-1245 c,1,2,2.93658468,0.0372,1.44,0.128,2.67,0.00839,M-R relationship,4.91,0,328.98,1190,82.32,12.27,0.01649,,5306,0.83,0.86,-0.01,-0.411,4.55,4.57,4.05093,805.936,15.582,13.519,15.3721,Super Earth
Kepler-1246 b,1,1,11.32271513,0.0848,1.36,0.121,2.42,0.00761,M-R relationship,5.29,0,26.45,554,84.06,9.2,0.01759,,4611,0.69,0.73,-0.03,-0.727,4.63,3.89,0.11476,436.505,15.27,12.59,15.0318,Super Earth
Kepler-1248 b,1,1,7.46725407,0.0806,1.18,0.105,1.76,0.00553,M-R relationship,5.89,0,271.25,1035,87.99,6.62,0.00862,,6149,1.21,1.21,0.24,0.276,4.36,1.51,0.90781,593.026,12.9,11.449,12.9248,Super Earth
Kepler-125 c,1,2,5.774464,0.051,0.74,0.066,0.33,0.00104,M-R relationship,4.47,0,16.81,529,88.94,17.1,0.01496,M1 V,3810,0.51,0.54,-0.14,-1.328,4.74,13.5,4.68232,183.365,15.431,11.682,14.7675,Terrestrial
Kepler-1250 b,1,1,2.60754383,0.0393,1.92,0.171,4.35,0.0137,M-R relationship,3.38,0,1866.19,1431,89.17,14.27,0.01808,,5717,0.98,0.99,0.04,0.343,4.46,4.57,8.08759,2126.85,15.693,14.008,15.5694,Super Earth
Kepler-1251 b,1,1,45.0904643,0.2478,1.84,0.164,4.04,0.0127,M-R relationship,3.56,0,13.78,487,88.01,27.5,0.01897,,5545,0.89,0.92,-0.04,-0.153,4.51,4.79,6.65298,902.204,15.024,13.269,14.9391,Super Earth
Kepler-1252 b,1,1,15.0540329,0.1078,1.67,0.149,3.43,0.0108,M-R relationship,4.05,0,57.58,665,86.09,26.32,0.01421,,5949,1.09,1.06,0.03,-0.13,4.38,3.89,1.52219,648.979,14.743,12.69,14.4946,Super Earth
Kepler-1253 b,1,1,68.8861915,0.3133,1.33,0.119,2.33,0.00733,M-R relationship,5.44,0,21.62,501,89.84,76.9,0.01134,,5850,1.1,0.97,-0.14,0.345,4.33,7.08,0.38914,514.524,12.588,11.016,12.4566,Super Earth
Kepler-1254 b,1,3,9.99113313,0.0833,1.55,0.138,3.02,0.00951,M-R relationship,4.46,0,33.98,660,88.16,28.86,0.01864,,4985,0.75,0.78,-0.1,-0.572,4.59,5.62,4.55362,622.818,15.541,13.292,15.3024,Super Earth
Kepler-1254 c,1,3,3.60084276,0.0422,1.3,0.116,2.24,0.00705,M-R relationship,5.6,0,132.39,927,88.3,13.16,0.01598,,4985,0.75,0.78,-0.1,-0.572,4.59,5.62,3.32192,622.818,15.541,13.292,15.3024,Super Earth
Kepler-1254 d,1,3,5.72717226,0.0575,1.31,0.117,2.27,0.00714,M-R relationship,5.55,0,71.31,794,88.57,19.64,0.01634,,4985,0.75,0.78,-0.1,-0.572,4.59,5.62,3.31866,622.818,15.541,13.292,15.3024,Super Earth
Kepler-1256 b,1,1,12.4127754,0.1063,1.49,0.133,2.83,0.00889,M-R relationship,4.7,0,211.55,933,87.43,21.3,0.01004,,6129,1.36,1.17,0.05,0.428,4.23,3.72,0.57834,891.192,13.685,12.234,13.513,Super Earth
Kepler-1257 b,1,1,2.66831376,0.0376,1.52,0.136,2.92,0.0092,M-R relationship,4.57,0,546.91,1252,87.65,8.39,0.01582,,5502,0.87,0.9,-0.09,-0.136,4.52,4.37,1.42361,1105.95,15.644,13.848,15.5124,Super Earth
Kepler-1258 b,1,1,0.98494017,0.0201,0.86,0.077,0.566,0.00178,M-R relationship,4.89,0,2775,2335,89.33,3.887,0.0083,,5839,0.99,0.99,-0.07,0.094,4.45,3.89,1.17376,717.555,13.929,12.382,13.7847,Terrestrial
Kepler-1259 b,1,1,0.66308526,0.0141,1.43,0.128,2.63,0.00829,M-R relationship,4.94,0,2460.58,1681,71.76,4.642,0.01712,,5053,0.77,0.8,-0.07,-0.333,4.58,5.25,4.30442,805.562,15.556,13.28,15.333,Super Earth
Kepler-126 b,1,3,10.495711,0.099,1.52,0.136,2.92,0.0092,M-R relationship,4.57,0.07,298.09,1009,89.46,8.364,0.01206,,6239,1.36,1.18,-0.07,0.452,4.25,3.39,0.55661,237.401,10.505,9.344,10.454,Super Earth
Kepler-126 c,1,3,21.869741,0.162,1.58,0.141,3.12,0.00982,M-R relationship,4.35,0.19,112.13,790,88.75,13.644,0.01302,,6239,1.36,1.18,-0.07,0.452,4.25,3.39,0.55661,237.401,10.505,9.344,10.454,Super Earth
Kepler-1260 b,1,1,19.1187753,0.1444,1.77,0.158,3.78,0.0119,M-R relationship,3.75,0,171.93,823,87.16,12.5,0.01532,,5961,1.08,1.06,0.01,0.526,4.39,3.8,0.13337,1734.43,14.953,13.183,14.8234,Super Earth
Kepler-1262 b,1,1,8.67900242,0.083,1.82,0.162,3.97,0.0125,M-R relationship,3.62,0,142.54,949,89.44,22.95,0.01688,,5771,0.98,0.99,-0.02,-0.105,4.45,4.27,3.11474,1054.87,15.155,13.629,15.1837,Super Earth
Kepler-1263 b,1,1,4.55139967,0.0499,1.14,0.102,1.55,0.00489,M-R relationship,5.75,0,144.81,907,88.98,13.9,0.01333,,5213,0.8,0.84,-0.03,-0.414,4.56,4.9,2.45318,664.83,15.173,13.08,15.0007,Super Earth
Kepler-1264 b,1,1,0.96852602,0.0191,1.18,0.105,1.76,0.00553,M-R relationship,5.89,0,2367.8,1677,65.17,2.24,0.01051,,5791,0.98,0.99,-0.02,-0.055,4.45,4.17,3.41073,801.993,14.629,12.901,14.4788,Super Earth
Kepler-1265 b,1,1,6.49441289,0.0612,1.35,0.12,2.39,0.00752,M-R relationship,5.34,0,58.15,732,84.68,9.82,0.01818,,4630,0.69,0.71,-0.1,-0.7,4.63,5.25,4.27014,583.641,16.024,13.2,15.5655,Super Earth
Kepler-1266 c,1,2,4.86631012,0.052,1.68,0.15,3.46,0.0109,M-R relationship,4.01,0,142.39,881,84.73,11.6,0.01874,,4996,0.83,0.79,0.14,-0.53,4.5,5.13,0.73807,849.312,16.016,13.824,15.836,Super Earth
Kepler-1268 b,1,1,40.9903986,0.2383,2.03,0.181,4.78,0.015,M-R relationship,3.14,0,40.65,627,89.94,43.31,0.01712,,5904,1.09,1.06,0.05,0.345,4.38,4.27,0.93341,1840.77,15.484,13.764,15.2224,Super Earth
Kepler-1269 b,1,1,37.3331536,0.226,1.63,0.145,3.29,0.0104,M-R relationship,4.17,0,69,657,87.64,39.603,0.01273,,5998,1.15,1.1,0.07,0.556,4.36,3.55,0.84302,1097.23,13.658,12.218,13.5701,Super Earth
Kepler-127 b,1,3,14.435889,0.125,1.4,0.125,2.54,0.008,M-R relationship,5.09,0.47,159.16,884,88.65,18,0.01017,,6106,1.36,1.27,0.214,0.407,4.27,2.63,0.52724,352.794,11.746,10.234,11.4381,Super Earth
Kepler-1271 b,1,1,3.0255955,0.0418,1.48,0.132,2.79,0.00879,M-R relationship,4.73,0,975.18,1484,79.13,7.8,0.01062,,6143,1.23,1.13,-0.01,0.219,4.31,3.63,0.97998,831.991,14.075,12.503,13.8677,Super Earth
Kepler-1274 b,1,1,6.98152703,0.0806,1.42,0.127,2.6,0.00819,M-R relationship,4.99,0,975.81,1384,83.27,8.981,0.00561,,6179,2.17,1.45,0.11,0.798,3.93,2.88,0.1211,614.648,11.717,10.454,11.6819,Super Earth
Kepler-1275 b,1,1,3.65691115,0.0488,1.48,0.132,2.79,0.00879,M-R relationship,4.73,0,822.48,1368,89.07,13.35,0.01003,,6296,1.36,1.23,0.04,0.315,4.26,2.51,3.17374,1153.98,14.595,13.062,14.4061,Super Earth
Kepler-1276 b,1,1,12.5720095,0.1072,1.19,0.106,1.81,0.0057,M-R relationship,5.9,0,139.77,886,89.27,13.8,0.00925,,6188,1.21,1.14,-0.02,0.22,4.33,3.09,1.30364,538.481,12.992,11.639,12.8485,Super Earth
Kepler-1277 b,1,1,40.8365012,0.2237,1.6,0.143,3.19,0.01,M-R relationship,4.28,0,12.11,496,89.65,59.6,0.01584,,5578,0.92,0.94,-0.01,-0.199,4.49,5.01,2.40742,557.193,14.306,12.427,14.0928,Super Earth
Kepler-1278 b,1,1,3.23941344,0.0419,1.01,0.09,1.01,0.00317,M-R relationship,5.39,0,1314.67,1213,87.54,4.05,0.00819,,6074,1.16,1.11,0.02,0.366,4.35,3.31,1.31343,889.426,13.782,12.27,13.6316,Super Earth
Kepler-1279 b,1,1,23.4774101,0.1633,1.75,0.156,3.71,0.0117,M-R relationship,3.8,0,190.85,738,89.97,26.93,0.0118,,6221,1.33,1.21,0.06,0.693,4.26,2.82,0.66996,1494.22,14.137,12.62,13.9318,Super Earth
Kepler-128 b,1,2,15.09,0.1231,1.43,0.128,0.77,0.00242,Mass,1.46,0,227.4,968,89.96,27.592,0.00807,,6136,1.61,1.09,0,0.575,4.07,4.07,0.30178,396.379,11.693,10.109,11.2886,Super Earth
Kepler-128 c,1,2,22.804,0.1622,1.34,0.12,0.9,0.00283,Mass,2.07,0,130.98,843,89.53,35.24,0.00732,,6136,1.61,1.09,0,0.575,4.07,4.07,0.30178,396.379,11.693,10.109,11.2886,Super Earth
Kepler-1280 b,1,1,66.5579057,0.38,1.87,0.167,4.16,0.0131,M-R relationship,3.5,0,35.29,757,89.69,47.37,0.01338,,6227,1.32,1.2,0.04,0.679,4.28,2.82,0.45399,1486.7,14.196,12.602,13.9999,Super Earth
Kepler-1281 b,1,1,3.11602791,0.0415,1.64,0.146,3.33,0.0105,M-R relationship,4.15,0,375.55,1123,89.17,13.389,0.01801,,5353,0.83,0.87,-0.04,-0.292,4.55,4.37,2.44249,1090,15.961,13.929,15.997,Super Earth
Kepler-1282 b,1,1,2.13194651,0.0335,1.55,0.138,3.02,0.00951,M-R relationship,4.46,0,672.53,1418,88.66,8.33,0.01567,,5504,0.89,0.92,0.01,-0.183,4.51,4.57,3.01046,1103.29,15.707,13.852,15.4921,Super Earth
Kepler-1283 b,1,1,12.9460978,0.1062,1.91,0.17,4.31,0.0136,M-R relationship,3.4,0,80.34,764,89.4,10.416,0.01367,,6175,1.25,1.16,0.04,0.927,4.31,2.88,0.12756,2921.99,15.269,13.567,15.0697,Super Earth
Kepler-1284 b,1,1,0.66407381,0.0143,1.21,0.108,1.92,0.00606,M-R relationship,5.96,0,2190.08,1703,82.63,4.702,0.01354,,5123,0.79,0.84,0.03,-0.395,4.57,4.47,2.93951,882.324,15.912,13.572,15.6622,Super Earth
Kepler-1285 b,1,1,14.7967458,0.1268,0.97,0.087,0.871,0.00274,M-R relationship,5.24,0,181.59,874,89.48,19.95,0.00747,,6170,1.28,1.2,0.16,0.481,4.3,2.75,0.39075,422.269,11.717,10.484,11.6497,Terrestrial
Kepler-1287 b,1,1,11.47685909,0.0976,1.54,0.137,2.99,0.0094,M-R relationship,4.5,0,78.16,796,89.87,32.19,0.01454,,5715,0.94,0.96,-0.05,-0.091,4.48,4.07,4.79022,1003.26,15.216,13.505,15.0069,Super Earth
Kepler-1288 b,1,1,2.76122421,0.0435,1.12,0.1,1.46,0.00459,M-R relationship,5.71,0,3906.36,2017,87.58,2.56,0.00772,,6132,1.29,1.2,0.14,0.302,4.29,2.88,0.35577,814.078,13.199,11.959,13.1774,Super Earth
Kepler-1289 b,1,1,7.99019627,0.0785,1.52,0.136,2.92,0.0092,M-R relationship,4.57,0,223.44,1113,89.67,6.7,0.01221,,6080,1.17,1.1,0.02,0.16,4.35,2.95,1.90469,1053.57,14.732,13.043,14.5992,Super Earth
Kepler-129 b,1,3,15.79,0.13,2.4,0.214,20,0.06293,Msini,8.1,0.01,158.31,910,89.89,16.794,0.01316,G4 V,5770,1.65,1.18,0.29,0.464,4.08,6.43,0.35927,408.845,11.809,10.252,11.6437,Super Earth
Kepler-1290 b,1,1,4.69500134,0.0557,1.42,0.127,2.6,0.00819,M-R relationship,4.99,0,443.22,1098,89,12.23,0.01448,,5660,0.93,0.95,-0.02,0.069,4.49,4.07,1.36344,1593.7,15.871,14.112,15.6906,Super Earth
Kepler-1291 b,1,1,8.63043276,0.0779,1.66,0.148,3.39,0.0107,M-R relationship,4.07,0,62.82,739,88.03,15.3,0.01876,,5216,0.8,0.84,-0.04,-0.467,4.56,4.9,1.45628,897.352,16.261,13.893,15.8826,Super Earth
Kepler-1292 b,1,1,3.27646405,0.0443,1.82,0.162,3.97,0.0125,M-R relationship,3.62,0,521.1,1195,90,11.479,0.01801,,5556,0.93,0.95,0.08,-0.091,4.49,4.68,2.37615,1493.43,16.337,14.19,15.9483,Super Earth
Kepler-1293 b,1,1,5.57654784,0.0659,0.97,0.087,0.871,0.00274,M-R relationship,5.24,0,929.12,1183,87.54,10.47,0.00712,,6241,1.28,1.18,0,0.604,4.29,2.82,0.34762,1028.16,13.377,12.075,13.3004,Terrestrial
Kepler-1295 b,1,1,3.81371974,0.0464,1.55,0.138,3.02,0.00951,M-R relationship,4.46,0,279.94,1029,88.78,14.77,0.01648,,5486,0.89,0.92,0.04,-0.283,4.51,4.68,4.18978,1174.46,16.227,14.092,15.9075,Super Earth
Kepler-1296 b,1,1,8.3839865,0.0896,0.91,0.081,0.693,0.00218,M-R relationship,5.05,0,399.01,1285,81.36,12.956,0.00972,,5359,0.83,0.87,-0.04,0.486,4.55,4.17,0.5853,1551.54,14.934,12.801,14.6267,Terrestrial
Kepler-1297 b,1,1,1.68189002,0.0283,0.97,0.087,0.871,0.00274,M-R relationship,5.24,0,2760.59,1790,84.06,4.338,0.00865,,5818,0.99,0.99,-0.04,0.302,4.45,4.17,0.54585,1439.47,14.867,13.262,14.7821,Terrestrial
Kepler-1298 b,1,1,7.12811928,0.082,1.31,0.117,2.27,0.00714,M-R relationship,5.55,0,1003.03,1373,88.82,9.705,0.00621,,6339,2,1.45,0.13,0.84,4,2.57,0.11716,544.163,11.388,10.149,11.3125,Super Earth
Kepler-130 b,2,3,8.457458,0.079,1.02,0.091,1.04,0.00328,M-R relationship,5.39,0.15,221.73,982,88.36,16.3,0.00849,,5884,1.13,0.96,-0.199,0.198,4.3,5.89,0.93792,316.663,11.572,10.49,11.8253,Super Earth
Kepler-130 d,2,3,87.517905,0.377,1.64,0.146,3.33,0.0105,M-R relationship,4.15,0.8,9.83,451,89.16,77.2,0.00901,,5884,1.13,0.96,-0.199,0.198,4.3,5.89,0.93792,316.663,11.572,10.49,11.8253,Super Earth
Kepler-1300 b,1,1,22.2419092,0.1655,1.37,0.122,2.45,0.00771,M-R relationship,5.24,0,149.41,954,85.08,23.49,0.00741,,6130,1.79,1.29,0.05,0.636,4.04,3.55,0.25044,777.025,12.861,11.383,12.7678,Super Earth
Kepler-1301 b,1,1,9.08237046,0.0815,1.4,0.125,2.54,0.008,M-R relationship,5.09,0,76.14,734,89.56,34.8,0.01633,,5188,0.81,0.85,0.01,-0.346,4.56,4.9,8.94101,854.28,15.656,13.469,15.3734,Super Earth
Kepler-1302 b,1,1,8.83922659,0.0795,1.43,0.128,2.63,0.00829,M-R relationship,4.94,0,58.34,778,86.88,37.88,0.01553,,5236,0.82,0.86,0.04,-0.467,4.55,4.68,13.16198,634.58,15.172,13.151,15.0387,Super Earth
Kepler-1303 b,1,1,7.56127224,0.0751,1.42,0.127,2.6,0.00819,M-R relationship,4.99,0,182.38,891,89.27,20,0.01279,,5771,1,1.01,0.04,-0.002,4.44,4.47,2.56621,897.783,14.854,13.086,14.6164,Super Earth
Kepler-1305 b,1,1,13.5630972,0.1109,1.88,0.168,4.19,0.0132,M-R relationship,3.47,0,103.51,733,87.13,18.62,0.01794,,5701,0.96,0.97,0.01,0.084,4.47,4.37,0.6637,1575.23,15.834,14.104,15.7145,Super Earth
Kepler-1306 b,1,1,16.29595382,0.123,1.91,0.17,4.31,0.0136,M-R relationship,3.4,0,52.15,678,89.79,59.32,0.01848,,5727,0.97,0.98,0,-0.063,4.45,4.57,14.86593,1107.5,15.353,13.631,15.212,Super Earth
Kepler-1308 b,1,1,2.10433812,0.025,0.52,0.046,0.0933,0.00029,M-R relationship,3.65,0,58.11,662,83.39,14.78,0.01388,,3468,0.34,0.35,-0.13,-1.503,4.92,3.72,6.07171,112.705,16.4,11.023,14.4744,Terrestrial
Kepler-131 b,1,2,16.092,0.1238,2.41,0.215,16.13,0.051,Mass,6,0,66.12,718,89.14,43.51,0.02126,,5685,1.03,1.02,0.12,0.022,4.42,3.66,1.44,228.678,11.493,10.079,11.4904,Super Earth
Kepler-131 c,1,2,25.5169,0.1684,0.84,0.075,8.25,0.026,Mass,77.7,0,35.74,615,89.53,33.9,0.00739,,5685,1.03,1.02,0.12,0.022,4.42,3.66,1.44,228.678,11.493,10.079,11.4904,Super Earth
Kepler-1310 b,1,1,0.67933627,0.0148,1.44,0.128,2.67,0.00839,M-R relationship,4.91,0,2830.91,1883,87.19,4.48,0.01471,,5549,0.88,0.91,-0.07,-0.192,4.51,4.17,3.18974,569.185,14.346,12.436,14.1223,Super Earth
Kepler-1311 b,1,3,11.1726994,0.0989,1.24,0.111,2.07,0.00651,M-R relationship,5.97,0,296.92,1019,87.64,14.283,0.00786,,5748,1.4,1.05,0.09,0.472,4.16,7.59,0.26664,866.331,13.528,11.825,13.3176,Super Earth
Kepler-1311 c,1,3,2.53573424,0.0368,1.22,0.109,1.98,0.00624,M-R relationship,5.99,0,2144.55,1671,89.37,4.9207,0.00778,,5748,1.4,1.05,0.09,0.472,4.16,7.59,0.26664,866.331,13.528,11.825,13.3176,Super Earth
Kepler-1312 c,1,2,1.11611998,0.0209,1.027,0.092,1.07,0.00337,M-R relationship,5.42,0,1797.63,1659,82.64,6.36,0.00983,,5721,0.91,0.98,0.02,-0.099,4.52,0.4,1.96176,299.104,12.491,10.907,12.3778,Super Earth
Kepler-1313 b,1,1,3.83309118,0.046,1.76,0.157,3.75,0.0118,M-R relationship,3.78,0,227.2,1012,83.58,8.8,0.0195,,5453,0.85,0.92,0,-0.325,4.54,2.69,2.56622,174.234,12.363,10.088,11.7892,Super Earth
Kepler-1315 b,1,2,0.84338011,0.0163,1.38,0.123,2.48,0.0078,M-R relationship,5.19,0,897.9,1541,78.23,4.545,0.01677,,4861,0.75,0.8,0.07,-0.628,4.6,3.47,2.49769,480.869,15.133,12.684,14.9517,Super Earth
Kepler-1315 c,1,2,6.56606007,0.064,1.844,0.165,4.06,0.0128,M-R relationship,3.56,0,86.27,777,88.08,20.49,0.01838,,4818,0.86,0.81,0.56,-0.628,4.48,14,3.77376,480.869,15.133,12.684,14.9517,Super Earth
Kepler-1317 b,1,1,0.56887443,0.0128,1.56,0.139,3.05,0.00961,M-R relationship,4.41,0,2413.26,1796,89.23,3.6864,0.01751,,5144,0.79,0.83,-0.01,-0.414,4.57,4.79,2.92839,728.303,15.083,13.309,15.2339,Super Earth
Kepler-1319 b,2,1,2.88676265,0.0296,1.34,0.12,2.36,0.00742,M-R relationship,5.39,0.33,38.45,557,84.91,25.3,0.02308,,3655,0.54,0.56,0.44,-1.457,4.73,5.37,5.61277,103.917,15.161,10.726,14.2218,Super Earth
Kepler-132 b,2,4,6.178196,0.067,1.21,0.108,1.92,0.00606,M-R relationship,5.96,0,292.35,1082,85.28,8.4,0.01087,,6003,1.18,0.98,-0.216,0.211,4.31,4.37,1.0301,349.549,11.922,10.424,,Super Earth
Kepler-132 c,2,4,6.414914,0.068,1.28,0.114,2.18,0.00687,M-R relationship,5.71,0,278.29,1069,83.44,8.6,0.01135,,6003,1.18,0.98,-0.216,0.211,4.31,4.37,0.49635,349.549,11.922,10.424,,Super Earth
Kepler-132 d,2,4,18.010199,0.136,1.55,0.138,3.02,0.00951,M-R relationship,4.46,0,70.21,758,85.52,17.2,0.01235,,6003,1.18,0.98,-0.216,0.211,4.31,4.37,6.09377,349.549,11.922,10.424,,Super Earth
Kepler-132 e,2,4,110.2869374,0.4393,1.18,0.105,1.76,0.00553,M-R relationship,5.89,0,6.27,414,89.73,190.3,0.00995,,6023,1.1,1.03,-0.13,0.211,4.37,4.37,10.71472,349.549,11.922,10.424,,Super Earth
Kepler-1320 b,1,1,0.86838653,0.0163,1.7,0.152,3.53,0.0111,M-R relationship,3.95,0,672.11,1389,88.78,6.319,0.02147,,4817,0.74,0.8,0.1,-0.729,4.6,3.16,4.76821,647.424,15.936,13.658,15.9045,Super Earth
Kepler-1322 b,1,2,0.96286738,0.0183,1.61,0.144,3.22,0.0101,M-R relationship,4.24,0,2651.42,1666,76.66,4.4,0.01686,,5488,0.87,0.9,-0.07,-0.101,4.52,4.47,1.74298,1350.32,15.876,14.068,15.7753,Super Earth
Kepler-1323 b,1,1,0.92990668,0.0191,1.52,0.136,2.92,0.0092,M-R relationship,4.57,0,5067.6,2291,88.59,4.136,0.00987,,6169,1.4,1.18,0.02,0.295,4.21,3.55,0.75775,465.417,12.444,11.122,12.344,Super Earth
Kepler-1324 b,1,1,4.11584468,0.0466,1.51,0.135,2.89,0.00909,M-R relationship,4.61,0,98.41,895,86.52,23.06,0.019,,4776,0.73,0.78,0.05,-0.673,4.61,2.88,13.69084,481.667,15.554,12.834,15.1336,Super Earth
Kepler-1327 b,1,1,14.88801098,0.1186,1.8,0.161,3.89,0.0123,M-R relationship,3.67,0,112.85,831,86.85,14.47,0.01557,,5885,1.03,1.02,-0.03,0.036,4.42,4.07,0.25852,678.069,13.966,12.374,13.8837,Super Earth
Kepler-1328 b,1,1,4.52158888,0.0529,0.98,0.087,0.904,0.00284,M-R relationship,5.28,0,545.67,1214,88.82,9.98,0.00944,,5780,0.99,1,0,0.228,4.44,4.57,0.88677,813.543,13.969,12.305,13.8033,Terrestrial
Kepler-133 b,1,2,8.129976,0.083,1.76,0.157,3.75,0.0118,M-R relationship,3.78,0,408.58,1041,86.24,9.05,0.01142,,5736,1.43,1.02,0.282,0.41,4.19,9.4,0.33482,653.6,12.896,11.32,12.8415,Super Earth
Kepler-1330 b,1,1,10.10769068,0.0889,1.65,0.147,3.36,0.0106,M-R relationship,4.11,0,322.4,879,89.57,20.27,0.01644,,5608,0.94,0.97,0.08,0.426,4.48,4.9,1.54105,1720.48,15.076,13.302,14.9451,Super Earth
Kepler-1331 b,1,1,0.78916165,0.0142,1.05,0.094,1.16,0.00364,M-R relationship,5.51,0,547.29,1244,86.5,6.662,0.01412,,4508,0.69,0.72,0.05,-0.909,4.63,4.17,7.08786,319.197,15.58,12.318,15.0318,Super Earth
Kepler-1332 b,1,1,11.87456832,0.0986,1.37,0.122,2.45,0.00771,M-R relationship,5.24,0,77.56,728,89.41,46.12,0.01381,,5581,0.9,0.95,0,-0.137,4.51,3.24,9.95897,528.685,13.975,12.122,13.795,Super Earth
Kepler-1335 b,1,1,6.26406846,0.0615,1.45,0.129,2.7,0.00849,M-R relationship,4.87,0,80.74,809,89.33,19.82,0.01807,,4903,0.74,0.77,-0.07,-0.555,4.6,4.9,3.76794,621.853,15.248,13.134,15.3037,Super Earth
Kepler-1336 b,1,2,23.198681,0.1595,1.98,0.177,4.58,0.0144,M-R relationship,3.24,0,103.72,793,89,18.476,0.01373,,5512,1.3,0.94,0.05,0.421,4.18,12.3,0.2217,1126.64,14.264,12.366,14.0381,Super Earth
Kepler-1336 c,1,2,5.77721211,0.0631,1.71,0.153,3.57,0.0112,M-R relationship,3.92,0,662.71,1260,87,7.3,0.01097,,5512,1.3,0.94,0.05,0.421,4.18,12.3,2.8522,1126.64,14.264,12.366,14.0381,Super Earth
Kepler-1338 b,1,1,0.93511806,0.0193,0.92,0.082,0.721,0.00227,M-R relationship,5.09,0,4712.11,2124,86.81,4.362,0.00771,,5909,1.05,1.04,0,0.247,4.41,3.8,1.79611,753.26,13.699,12.106,13.5742,Terrestrial
Kepler-1339 b,1,1,1.34155513,0.0234,0.71,0.063,0.285,0.0009,M-R relationship,4.38,0,3094.82,1642,87.56,6.085,0.007,,5586,0.93,0.94,0.01,0.188,4.47,5.62,0.60124,371.049,12.344,10.627,12.1235,Terrestrial
Kepler-134 b,1,2,5.317429,0.06,2,0.178,4.66,0.0147,M-R relationship,3.2,0,301.37,1105,85.86,6.61,0.01542,,5983,1.18,1.06,-0.207,0.061,4.31,3.55,1.26196,334.797,12.318,10.951,12.2219,Super Earth
Kepler-134 c,1,2,10.105785,0.092,1.26,0.112,2.13,0.00669,M-R relationship,5.85,0,128.09,892,87.87,10.13,0.00975,,5983,1.18,1.06,-0.207,0.061,4.31,3.55,1.26196,334.797,12.318,10.951,12.2219,Super Earth
Kepler-1340 b,1,1,0.66502692,0.0153,1.55,0.138,3.02,0.00951,M-R relationship,4.46,0,4793,2174,80.48,3.009,0.00962,,6331,1.42,1.27,0.07,0.087,4.24,2.4,1.16531,981.779,15.003,13.24,14.7546,Super Earth
