pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
Kepler-756 b,1,1,1.22486632,0.0219,1.12,0.1,1.46,0.00459,M-R relationship,5.71,0,2174.33,1741,86.94,5.562,0.01319,,5282,0.79,0.82,-0.19,-0.358,4.57,4.47,2.17012,852,15.986,13.535,15.3912,Super Earth
Kepler-757 b,1,1,1.02267882,0.019,1.36,0.121,2.42,0.00761,M-R relationship,5.29,0,3345.45,1734,89.81,5.785,0.01078,,6014,1.13,1.08,0.02,0.16,4.37,3.31,3.5012,1068.68,15.066,13.043,14.7637,Super Earth
Kepler-758 c,1,4,4.75793986,0.0547,1.69,0.151,3.5,0.011,M-R relationship,3.98,0,1211.82,1372,84.31,8.2,0.01121,,6228,1.42,1.16,-0.1,0.563,4.19,3.8,0.1803,1502.32,14.379,13.11,14.3267,Super Earth
Kepler-758 e,1,4,8.1934719,0.0785,1.53,0.136,2.96,0.0093,M-R relationship,4.54,0,588.4,1144,83.51,11.8,0.00999,,6228,1.42,1.16,-0.1,0.563,4.19,3.8,0.42398,1502.32,14.379,13.11,14.3267,Super Earth
Kepler-760 c,1,2,2.46697439,0.0333,1.48,0.132,2.79,0.00879,M-R relationship,4.73,0,453.65,1139,86.61,11.97,0.01642,,5322,0.85,0.89,0.08,-0.28,4.54,4.57,5.32948,792.336,15.181,13.239,15.0731,Super Earth
Kepler-761 b,1,1,10.12804789,0.0874,2.03,0.181,4.78,0.015,M-R relationship,3.14,0,95.45,767,87.16,23.39,0.02036,,5706,0.93,0.95,-0.09,-0.117,4.48,4.07,2.35867,830.707,14.993,13.202,14.7087,Super Earth
Kepler-763 b,1,3,1.19655156,0.0205,1.22,0.109,1.98,0.00624,M-R relationship,5.99,0,974.09,1414,87.27,7.6,0.01406,,5166,0.8,0.84,0.01,-0.334,4.57,4.79,4.49591,962.459,15.965,13.752,15.6824,Super Earth
Kepler-763 c,1,3,4.09667624,0.0466,1.42,0.146,2.6,0.00819,M-R relationship,4.99,0,182.9,938,89.43,14.38,0.01546,,4999,0.84,0.8,0.18,-0.334,4.49,2.1,3.35101,962.459,15.965,13.752,15.6824,Super Earth
Kepler-763 d,1,3,6.50327035,0.0634,1.67,0.175,3.43,0.0108,M-R relationship,4.05,0,98.81,804,89.76,19.47,0.01813,,4999,0.84,0.8,0.18,-0.334,4.49,2.1,3.30276,962.459,15.965,13.752,15.6824,Super Earth
Kepler-764 b,1,1,7.33683936,0.0724,1.64,0.146,3.33,0.0105,M-R relationship,4.15,0,160.46,875,89.93,16.22,0.01719,,5557,0.89,0.92,-0.06,-0.136,4.51,4.17,1.4571,1047.84,15.555,13.622,15.3002,Super Earth
Kepler-768 b,1,1,11.3910025,0.092,1.79,0.16,3.86,0.0121,M-R relationship,3.7,0,40.59,618,88.44,10.8,0.02095,,5108,0.78,0.82,-0.03,-0.466,4.58,4.57,8.33869,784.56,15.969,13.514,15.7232,Super Earth
Kepler-769 c,1,2,15.9870174,0.1297,1.79,0.16,3.86,0.0121,M-R relationship,3.7,0,86.76,803,88.79,18.8,0.01345,,6186,1.28,1.19,0.06,0.179,4.3,2.88,1.50391,1169.57,14.984,13.392,14.7604,Super Earth
Kepler-770 c,1,3,1.47532231,0.0309,1.2,0.107,1.87,0.00588,M-R relationship,5.95,0,833.59,2740,88.41,4.913,0.01156,,5598,0.92,0.94,-0.01,0.054,4.49,4.57,0.97772,930.457,14.852,12.923,14.5966,Super Earth
Kepler-770 d,1,3,4.15244722,0.0616,1.4,0.125,2.54,0.008,M-R relationship,5.09,0,209.75,1941,86.24,12.366,0.01392,,5598,0.92,0.94,-0.01,0.054,4.49,4.57,2.07455,930.457,14.852,12.923,14.5966,Super Earth
Kepler-771 b,1,1,8.73485836,0.0843,1.82,0.162,3.97,0.0125,M-R relationship,3.62,0,339.3,890,88.75,14.62,0.01595,,5906,1.05,1.03,0.01,0.355,4.42,3.72,0.77515,1393.85,14.958,13.202,14.7461,Super Earth
Kepler-772 b,1,1,12.99207337,0.1071,1.82,0.162,3.97,0.0125,M-R relationship,3.62,0,264.58,866,89.69,16.683,0.01483,,5714,1.11,0.98,0.03,0.475,4.33,8.13,0.5355,1130.21,14.145,12.299,13.9556,Super Earth
Kepler-773 b,1,1,3.74910006,0.047,1.43,0.128,2.63,0.00829,M-R relationship,4.94,0,490.71,1160,80.24,15.63,0.0125,,5850,1.01,1.04,0.05,0.095,4.45,2.82,0.91462,547.026,13.387,11.888,13.2797,Super Earth
Kepler-775 b,1,1,0.97486893,0.0187,1.19,0.106,1.81,0.0057,M-R relationship,5.9,0,1496.75,1612,88.53,4.664,0.01308,,5468,0.84,0.92,-0.04,-0.267,4.56,1.86,1.97281,398.676,13.564,11.774,13.4673,Super Earth
Kepler-776 b,1,1,4.89718784,0.0523,1.28,0.114,2.18,0.00687,M-R relationship,5.71,0,135.08,904,87.63,20.97,0.0149,,5071,0.78,0.83,0.05,-0.437,4.58,4.37,7.27284,727.904,15.562,13.319,15.42,Super Earth
Kepler-777 b,1,1,5.72812599,0.0519,1.47,0.131,2.76,0.00869,M-R relationship,4.77,0,33.95,569,89.42,22.605,0.02421,,4043,0.56,0.58,-0.17,-0.968,4.71,3.16,5.77301,443.106,16.131,13.046,15.9397,Super Earth
Kepler-778 b,1,1,3.75574426,0.0453,1.68,0.15,3.46,0.0109,M-R relationship,4.01,0,216.57,977,89.43,12.67,0.01998,,5102,0.77,0.81,-0.09,-0.413,4.58,5.25,2.7269,938.168,15.959,13.788,15.7514,Super Earth
Kepler-779 b,2,1,7.09714223,0.0533,0.92,0.082,0.721,0.00227,M-R relationship,5.09,0,15.03,425,89.89,26.17,0.0189,,3804,0.44,0.46,-0.43,-1.234,4.81,3.89,4.62877,283.155,16.303,12.608,15.6335,Terrestrial
Kepler-78 b,2,1,0.35500745,0.00901,1.201,0.107,1.68,0.00529,Mass,5.33,0,4070,2223,75.2,2.7,0.01505,G,5058,0.75,0.78,-0.18,-0.498,4.61,0.625,2.63,124.376,11.717,9.586,11.5287,Super Earth
Kepler-780 b,1,1,0.67737516,0.015,0.89,0.079,0.64,0.00201,M-R relationship,4.99,0,4572.56,2099,87.38,2.8794,0.00809,,5769,1.02,1.01,0.05,0.017,4.42,4.9,1.01394,557.652,13.464,11.824,13.3393,Terrestrial
Kepler-783 b,1,2,4.29264638,0.0491,0.78,0.07,0.399,0.00126,M-R relationship,4.62,0,229.1,991,87.62,9.7,0.00764,,5521,0.89,0.93,0.01,-0.231,4.51,3.89,0.90656,516.09,14.153,12.287,13.9378,Terrestrial
Kepler-784 b,1,2,31.5922646,0.1967,1.58,0.141,3.12,0.00982,M-R relationship,4.35,0,194.39,688,89.06,19.2,0.01147,,5674,1.32,1,0.07,0.857,4.19,9.12,0.05821,1303.72,13.392,11.617,13.2634,Super Earth
Kepler-784 c,1,2,17.157236,0.1309,1.55,0.158,3.02,0.00951,M-R relationship,4.46,0,119.87,844,88.81,11.41,0.00956,,5676,1.49,1.02,0.1,0.857,4.1,8.8,0.09554,1303.72,13.392,11.617,13.2634,Super Earth
Kepler-787 b,1,1,0.9283105,0.0159,1.28,0.114,2.18,0.00687,M-R relationship,5.71,0,493.55,1115,88.27,6,0.01864,,4248,0.62,0.65,-0.09,-0.895,4.67,3.39,3.24108,503.568,16.696,13.105,15.8612,Super Earth
Kepler-792 b,1,1,11.30119217,0.0988,1.96,0.175,4.5,0.0142,M-R relationship,3.28,0,176.03,852,89.69,21.65,0.01611,,5971,1.12,1.09,0.08,0.274,4.38,3.39,1.52852,1425.47,15.117,13.478,14.976,Super Earth
Kepler-793 b,1,1,4.24153639,0.0491,1.37,0.122,2.45,0.00771,M-R relationship,5.24,0,617.41,1177,88.62,10.7,0.01323,,5745,0.97,0.98,0,0.11,4.46,4.27,0.95862,985.699,14.742,12.871,14.601,Super Earth
Kepler-795 b,2,1,29.6193421,0.1817,1.68,0.15,3.46,0.0109,M-R relationship,4.01,0,26.79,580,89.94,20.5,0.01632,,5631,0.96,0.94,-0.02,-0.022,4.45,6.46,1.24741,492.122,13.423,11.708,13.3107,Super Earth
Kepler-796 b,1,1,6.40087618,0.0662,1.3,0.116,2.24,0.00705,M-R relationship,5.6,0,962.26,1109,85.17,19.743,0.01063,,5475,1.09,0.93,0.09,0.572,4.33,11.75,3.55345,817.584,13.175,11.074,12.9866,Super Earth
Kepler-80 d,1,6,3.07222,0.0372,1.53,0.136,6.75,0.02124,Mass,7.04,0,164.62,722,88.35,12.8,0.021,K5,4540,0.68,0.73,0.04,-0.77,4.64,2,2.33,369.451,15.23,12.253,14.7555,Super Earth
Kepler-80 e,1,6,4.64489,0.0491,1.6,0.143,4.13,0.01299,Mass,3.75,0,94.78,629,88.79,17.69,0.02155,K5,4540,0.68,0.73,0.04,-0.77,4.64,2,2.33,369.451,15.23,12.253,14.7555,Super Earth
Kepler-80 f,1,6,0.9867873,0.0175,1.21,0.108,1.92,0.00606,M-R relationship,5.96,0,750.96,1054,86.5,6.493,0.01926,K5,4540,0.68,0.73,0.04,-0.77,4.64,2,2.33,369.451,15.23,12.253,14.7555,Super Earth
Kepler-80 g,1,6,14.64558,0.110094,1.13,0.101,1.51,0.00474,M-R relationship,5.75,,,418,89.35,45,0.0153,K5,4540,0.68,0.83,0.04,-0.767,4.64,2,2.33,369.451,15.23,12.253,14.7555,Super Earth
Kepler-801 b,1,1,11.41928253,0.0795,2,0.178,4.66,0.0147,M-R relationship,3.2,0,14.44,419,89.36,21.83,0.02893,,4435,0.63,0.67,-0.17,-0.798,4.66,3.55,1.5102,440.426,15.596,12.763,15.2759,Super Earth
